NOMBRE_FACULTAD;NOMBRE_PROGRAMA;JORNADA;MODALIDAD;NOMBRE_SEDE;TIPO_IDEN_EST;LUG_EXPEDICION;LUGAR_NACIMIENTO;FECHA_NACIMIENTO;SEXO;ESTRATO;NOMBRE_ESTADO
CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;06/17/1993 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;12/25/1996 12:00:00 AM;M;1;NO MATRICULADO
CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TIBASOSA;2/02/1999 0:00;F;5;RETIRADO CON CUPO RESERVADO
CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;VILLAPINZÓN;8/02/1998 0:00;F;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;BIOLOGIA;DIURNO;PRESENCIAL;TUNJA;C;;AQUITANIA;02/25/1997 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;7/12/1997 0:00;M;1;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;T;TAURAMENA;SAN GIL;12/02/2002 0:00;M;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;SAN GIL;SAN GIL;06/14/1999 12:00:00 AM;M;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;;TUNJA;02/20/1999 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;DUITAMA;DUITAMA;11/07/1996 0:00;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;T;GARAGOA;GARAGOA;02/29/2000 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;FISICA;DIURNO;PRESENCIAL;TUNJA;C;FUSAGASUGÁ;FUSAGASUGÁ;10/29/1999 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;;;7/01/1998 0:00;M;1;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;SOGAMOSO;SOGAMOSO;2/08/1999 0:00;F;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;T;;;4/04/2001 0:00;F;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;PAIPA;PAIPA;2/11/1993 0:00;M;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;T;TUNJA;TUNJA;06/21/2000 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
CIENCIAS;MATEMATICAS;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;10/24/1996 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;10/22/1997 12:00:00 AM;F;1;RETIRADO CON CUPO RESERVADO
CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;;;05/26/1997 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;PAIPA;PAIPA;5/10/1997 0:00;F;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;;;4/09/2000 0:00;F;2;RETIRADO CON CUPO RESERVADO
CIENCIAS;QUIMICA;DIURNO;PRESENCIAL;TUNJA;C;TUNJA;TUNJA;01/18/2001 12:00:00 AM;M;3;RETIRADO CON CUPO RESERVADO
